 Date,Start Time,End Time,Event Title,Location
2026-04-04,9:00,12:00,HS Ride,
2026-04-08,16:30,17:30,Girls Riding Together: GRiT (Girls Wednesday Practice),Annadel (Channel Dr.)
2026-04-11,0:00,23:59,RACE 3 - Six Sigma,Six Sigma
2026-04-11,9:00,12:00,Combined Devo/HS Ride for Non-Racers,
2026-04-22,16:30,17:30,Girls Riding Together: GRiT (Girls Wednesday Practice),Annadel (Channel Dr.)
2026-04-25,9:00,12:00,HS Ride,
2026-04-25,9:30,16:30,VOLUNTEER: Levi's GranFondo Mercuryville Rest Stop,Mercuryville Rest Stop
2026-05-02,0:00,23:59,RACE 4 - Stafford Lake,Stafford Lake
2026-05-02,0:00,23:59,RTA EVENT: 16-hour Wilderness First Aid (Day 1),
2026-05-03,0:00,23:59,RTA EVENT: 16-hour Wilderness First Aid (Day 2),
2026-05-06,16:30,17:30,Girls Riding Together: GRiT (Girls Wednesday Practice),Annadel (Channel Dr.)
2026-05-09,10:00,13:00,End of the Season Celebration!,
2026-05-16,0:00,23:59,DEVO RACE 5 - Six Sigma,Six Sigma
2026-05-17,0:00,23:59,CHAMPIONSHIPS at Six Sigma,Six Sigma
2026-07-19,0:00,23:59,NorCal League: GRiT Summer Camp,
2026-07-26,0:00,23:59,NorCal League: Boys Summer Camp,
2026-11-14,0:00,23:59,NICA Western Regionals,St. George (Utah)